Station,RA,DEC,Start_Epoch,Exposure(hr),FoV(deg),Center Frequency(GHz),Bandwidth(GHz),Mean(¦ÌJy),RMS(¦ÌJy),UL_95%(¦ÌJy),UL_95%(Jy/sr)
VLA,11:13:14.0393,+29:04:10.044,2022-04-26T23:28:08.000,0.5,0.633,1.039575,0.064,0.001 ,0.250 ,0.490 ,0.005 
VLA,11:13:14.0393,+29:04:10.044,2022-04-26T23:28:08.000,0.5,0.633,1.103579,0.064,0.029 ,0.151 ,0.324 ,0.003 
VLA,11:13:14.0393,+29:04:10.044,2022-04-26T23:28:08.000,0.5,0.633,1.167584,0.064,0.019 ,0.100 ,0.215 ,0.002 
VLA,11:13:14.0393,+29:04:10.044,2022-04-26T23:28:08.000,0.5,0.633,1.231589,0.064,0.012 ,0.070 ,0.149 ,0.002 
VLA,11:13:14.0393,+29:04:10.044,2022-04-26T23:28:08.000,0.5,0.633,1.295593,0.064,0.015 ,0.509 ,1.012 ,0.011 
VLA,11:13:14.0393,+29:04:10.044,2022-04-26T23:28:08.000,0.5,0.633,1.359598,0.064,0.042 ,0.131 ,0.297 ,0.003 
VLA,11:13:14.0393,+29:04:10.044,2022-04-26T23:28:08.000,0.5,0.633,1.423602,0.064,0.014 ,0.189 ,0.384 ,0.004 
VLA,11:13:14.0393,+29:04:10.044,2022-04-26T23:28:08.000,0.5,0.633,1.487607,0.064,-0.033 ,0.098 ,0.158 ,0.002 
VLA,11:13:14.0393,+29:04:10.044,2022-04-26T23:28:08.000,0.5,0.633,1.551612,0.064,-0.009 ,0.919 ,1.792 ,0.019 
VLA,11:13:14.0393,+29:04:10.044,2022-04-26T23:28:08.000,0.5,0.633,1.615616,0.064,0.019 ,0.319 ,0.644 ,0.007 
VLA,11:13:14.0393,+29:04:10.044,2022-04-26T23:28:08.000,0.5,0.633,1.679621,0.064,0.022 ,0.058 ,0.136 ,0.001 
VLA,11:13:14.0393,+29:04:10.044,2022-04-26T23:28:08.000,0.5,0.633,1.743625,0.064,0.023 ,0.289 ,0.589 ,0.006 
VLA,11:13:14.0393,+29:04:10.044,2022-04-26T23:28:08.000,0.5,0.633,1.80763,0.064,0.023 ,0.044 ,0.109 ,0.001 
VLA,11:13:14.0393,+29:04:10.044,2022-04-26T23:28:08.000,0.5,0.633,1.871635,0.064,0.038 ,0.116 ,0.265 ,0.003 
VLA,11:13:14.0393,+29:04:10.044,2022-04-26T23:28:08.000,0.5,0.633,1.935639,0.064,0.018 ,0.164 ,0.341 ,0.004 
VLA,11:13:14.0393,+29:04:10.044,2022-04-26T23:28:08.000,0.5,0.633,1.999644,0.064,0.016 ,0.071 ,0.155 ,0.002 
VLA,11:12:31.2536,+29:13:30.970,2022-06-26T21:02:59.000,0.5,0.321,2.051152,0.128,0.036 ,0.036 ,0.106 ,0.004 
VLA,11:12:31.2536,+29:13:30.970,2022-06-26T21:02:59.000,0.5,0.321,2.179162,0.128,0.019 ,0.053 ,0.123 ,0.005 
VLA,11:12:31.2536,+29:13:30.970,2022-06-26T21:02:59.000,0.5,0.321,2.307171,0.128,0.027 ,0.160 ,0.340 ,0.014 
VLA,11:12:31.2536,+29:13:30.970,2022-06-26T21:02:59.000,0.5,0.321,2.435181,0.128,0.023 ,0.017 ,0.056 ,0.002 
VLA,11:12:31.2536,+29:13:30.970,2022-06-26T21:02:59.000,0.5,0.321,2.56319,0.128,0.017 ,0.013 ,0.043 ,0.002 
VLA,11:12:31.2536,+29:13:30.970,2022-06-26T21:02:59.000,0.5,0.321,2.6912,0.128,0.015 ,0.025 ,0.064 ,0.003 
VLA,11:12:31.2536,+29:13:30.970,2022-06-26T21:02:59.000,0.5,0.321,2.819209,0.128,0.015 ,0.010 ,0.034 ,0.001 
VLA,11:12:31.2536,+29:13:30.970,2022-06-26T21:02:59.000,0.5,0.321,2.947219,0.128,0.014 ,0.012 ,0.037 ,0.002 
VLA,11:12:31.2536,+29:13:30.970,2022-06-26T21:02:59.000,0.5,0.321,3.075228,0.128,0.019 ,0.037 ,0.091 ,0.004 
VLA,11:12:31.2536,+29:13:30.970,2022-06-26T21:02:59.000,0.5,0.321,3.203238,0.128,0.013 ,0.016 ,0.045 ,0.002 
VLA,11:12:31.2536,+29:13:30.970,2022-06-26T21:02:59.000,0.5,0.321,3.331247,0.128,0.012 ,0.016 ,0.043 ,0.002 
VLA,11:12:31.2536,+29:13:30.970,2022-06-26T21:02:59.000,0.5,0.321,3.459257,0.128,0.014 ,0.009 ,0.031 ,0.001 
VLA,11:12:31.2536,+29:13:30.970,2022-06-26T21:02:59.000,0.5,0.321,3.587266,0.128,0.015 ,0.017 ,0.048 ,0.002 
VLA,11:12:31.2536,+29:13:30.970,2022-06-26T21:02:59.000,0.5,0.321,3.715276,0.128,0.010 ,0.022 ,0.053 ,0.002 
VLA,11:12:31.2536,+29:13:30.970,2022-06-26T21:02:59.000,0.5,0.321,3.843285,0.128,0.015 ,0.023 ,0.060 ,0.002 
VLA,12:26:11.9648,+33:28:01.918,2023-08-12T17:47:18.000,0.5,0.16,4.037073,0.128,0.000 ,0.132 ,0.260 ,0.042 
VLA,12:26:11.9648,+33:28:01.918,2023-08-12T17:47:18.000,0.5,0.16,4.165075,0.128,0.012 ,0.081 ,0.171 ,0.028 
VLA,12:26:11.9648,+33:28:01.918,2023-08-12T17:47:18.000,0.5,0.16,4.293078,0.128,-0.005 ,0.030 ,0.053 ,0.009 
VLA,12:26:11.9648,+33:28:01.918,2023-08-12T17:47:18.000,0.5,0.16,4.42108,0.128,0.007 ,0.053 ,0.111 ,0.018 
VLA,12:26:11.9648,+33:28:01.918,2023-08-12T17:47:18.000,0.5,0.16,4.549082,0.128,-0.011 ,0.128 ,0.239 ,0.039 
VLA,12:26:11.9648,+33:28:01.918,2023-08-12T17:47:18.000,0.5,0.16,4.677085,0.128,0.002 ,1.214 ,2.382 ,0.389 
VLA,12:26:11.9648,+33:28:01.918,2023-08-12T17:47:18.000,0.5,0.16,4.805087,0.128,0.002 ,0.044 ,0.088 ,0.014 
VLA,12:26:11.9648,+33:28:01.918,2023-08-12T17:47:18.000,0.5,0.16,4.933089,0.128,-0.018 ,0.063 ,0.106 ,0.017 
VLA,12:26:11.9648,+33:28:01.918,2023-08-12T17:47:18.000,0.5,0.16,5.061092,0.128,-0.011 ,0.371 ,0.716 ,0.117 
VLA,12:26:11.9648,+33:28:01.918,2023-08-12T17:47:18.000,0.5,0.16,5.189094,0.128,0.003 ,0.570 ,1.119 ,0.183 
VLA,12:26:11.9648,+33:28:01.918,2023-08-12T17:47:18.000,0.5,0.16,5.317096,0.128,0.006 ,0.034 ,0.072 ,0.012 
VLA,12:26:11.9648,+33:28:01.918,2023-08-12T17:47:18.000,0.5,0.16,5.445099,0.128,0.020 ,0.036 ,0.090 ,0.015 
VLA,12:26:11.9648,+33:28:01.918,2023-08-12T17:47:18.000,0.5,0.16,5.573101,0.128,0.010 ,0.079 ,0.164 ,0.027 
VLA,12:26:11.9648,+33:28:01.918,2023-08-12T17:47:18.000,0.5,0.16,5.701103,0.128,0.005 ,0.152 ,0.304 ,0.050 
VLA,12:26:11.9648,+33:28:01.918,2023-08-12T17:47:18.000,0.5,0.16,5.829106,0.128,-0.006 ,0.061 ,0.114 ,0.019 
VLA,12:26:11.9648,+33:28:01.918,2023-08-12T17:47:18.000,0.5,0.16,5.957108,0.128,0.010 ,0.057 ,0.121 ,0.020 
VLA,12:26:11.9647,+33:27:59.806,2023-08-12T17:47:18.000,0.5,0.16,5.998109,4.05,0.009 ,0.022 ,0.052 ,0.008 
VLA,12:26:11.9648,+33:28:01.918,2023-08-12T17:47:18.000,0.5,0.16,6.08511,0.128,0.016 ,0.056 ,0.125 ,0.020 
VLA,12:26:11.9648,+33:28:01.918,2023-08-12T17:47:18.000,0.5,0.16,6.213113,0.128,0.011 ,0.064 ,0.136 ,0.022 
VLA,12:26:11.9648,+33:28:01.918,2023-08-12T17:47:18.000,0.5,0.16,6.341115,0.128,0.005 ,0.074 ,0.150 ,0.024 
VLA,12:26:11.9648,+33:28:01.918,2023-08-12T17:47:18.000,0.5,0.16,6.469117,0.128,-0.006 ,0.172 ,0.332 ,0.054 
VLA,12:26:11.9648,+33:28:01.918,2023-08-12T17:47:18.000,0.5,0.16,6.59712,0.128,-0.005 ,0.122 ,0.234 ,0.038 
VLA,12:26:11.9648,+33:28:01.918,2023-08-12T17:47:18.000,0.5,0.16,6.725122,0.128,-0.009 ,0.054 ,0.096 ,0.016 
VLA,12:26:11.9648,+33:28:01.918,2023-08-12T17:47:18.000,0.5,0.16,6.853124,0.128,-0.004 ,0.315 ,0.613 ,0.100 
VLA,12:26:11.9648,+33:28:01.918,2023-08-12T17:47:18.000,0.5,0.16,6.981127,0.128,-0.016 ,0.053 ,0.087 ,0.014 
VLA,12:26:11.9648,+33:28:01.918,2023-08-12T17:47:18.000,0.5,0.16,7.109129,0.128,-0.010 ,0.079 ,0.144 ,0.023 
VLA,12:26:11.9648,+33:28:01.918,2023-08-12T17:47:18.000,0.5,0.16,7.237131,0.128,0.013 ,0.058 ,0.127 ,0.021 
VLA,12:26:11.9648,+33:28:01.918,2023-08-12T17:47:18.000,0.5,0.16,7.365133,0.128,0.022 ,0.141 ,0.298 ,0.049 
VLA,12:26:11.9648,+33:28:01.918,2023-08-12T17:47:18.000,0.5,0.16,7.493136,0.128,0.014 ,0.189 ,0.384 ,0.063 
VLA,12:26:11.9648,+33:28:01.918,2023-08-12T17:47:18.000,0.5,0.16,7.621138,0.128,0.061 ,0.308 ,0.665 ,0.109 
VLA,12:26:11.9648,+33:28:01.918,2023-08-12T17:47:18.000,0.5,0.16,7.74914,0.128,0.028 ,0.816 ,1.627 ,0.266 
VLA,12:26:11.9648,+33:28:01.918,2023-08-12T17:47:18.000,0.5,0.16,7.877143,0.128,0.023 ,0.203 ,0.421 ,0.069 
VLA,12:32:38.0296,+49:54:29.913,2022-04-25T07:34:01.000,0.17,0.096,8.039189,0.128,0.013 ,0.082 ,0.174 ,0.079 
VLA,12:32:38.0296,+49:54:29.913,2022-04-25T07:34:01.000,0.17,0.096,8.167192,0.128,0.004 ,0.040 ,0.083 ,0.037 
VLA,12:32:38.0296,+49:54:29.913,2022-04-25T07:34:01.000,0.17,0.096,8.295195,0.128,0.010 ,0.205 ,0.411 ,0.187 
VLA,12:32:38.0296,+49:54:29.913,2022-04-25T07:34:01.000,0.17,0.096,8.423198,0.128,0.016 ,0.028 ,0.071 ,0.032 
VLA,12:32:38.0296,+49:54:29.913,2022-04-25T07:34:01.000,0.17,0.096,8.551201,0.128,0.010 ,0.083 ,0.172 ,0.078 
VLA,12:32:38.0296,+49:54:29.913,2022-04-25T07:34:01.000,0.17,0.096,8.679204,0.128,0.003 ,0.022 ,0.046 ,0.021 
VLA,12:32:38.0296,+49:54:29.913,2022-04-25T07:34:01.000,0.17,0.096,8.807207,0.128,0.001 ,0.081 ,0.159 ,0.072 
VLA,12:32:38.0296,+49:54:29.913,2022-04-25T07:34:01.000,0.17,0.096,8.93521,0.128,-0.004 ,0.024 ,0.042 ,0.019 
VLA,12:32:38.0296,+49:54:29.913,2022-04-25T07:34:01.000,0.17,0.096,9.063213,0.128,-0.003 ,0.337 ,0.657 ,0.298 
VLA,12:32:38.0296,+49:54:29.913,2022-04-25T07:34:01.000,0.17,0.096,9.191216,0.128,0.000 ,0.077 ,0.150 ,0.068 
VLA,12:32:38.0296,+49:54:29.913,2022-04-25T07:34:01.000,0.17,0.096,9.319219,0.128,0.002 ,0.064 ,0.128 ,0.058 
VLA,12:32:38.0296,+49:54:29.913,2022-04-25T07:34:01.000,0.17,0.096,9.447222,0.128,0.004 ,0.327 ,0.644 ,0.292 
VLA,12:32:38.0296,+49:54:29.913,2022-04-25T07:34:01.000,0.17,0.096,9.575225,0.128,0.016 ,0.020 ,0.055 ,0.025 
VLA,12:32:38.0296,+49:54:29.913,2022-04-25T07:34:01.000,0.17,0.096,9.703228,0.128,-0.003 ,0.062 ,0.118 ,0.053 
VLA,12:32:38.0296,+49:54:29.913,2022-04-25T07:34:01.000,0.17,0.096,9.831231,0.128,0.010 ,0.053 ,0.114 ,0.052 
VLA,12:32:38.0296,+49:54:29.913,2022-04-25T07:34:01.000,0.17,0.096,9.959234,0.128,-0.008 ,0.201 ,0.385 ,0.175 
VLA,12:32:38.0295,+49:54:28.645,2022-04-25T07:34:01.000,0.17,0.096,9.999235,4.048,0.001 ,0.047 ,0.093 ,0.042 
VLA,12:32:38.0296,+49:54:29.913,2022-04-25T07:34:01.000,0.17,0.096,10.08724,0.128,-0.001 ,0.320 ,0.625 ,0.283 
VLA,12:32:38.0296,+49:54:29.913,2022-04-25T07:34:01.000,0.17,0.096,10.21524,0.128,-0.006 ,0.053 ,0.099 ,0.045 
VLA,12:32:38.0296,+49:54:29.913,2022-04-25T07:34:01.000,0.17,0.096,10.34324,0.128,-0.002 ,0.064 ,0.123 ,0.056 
VLA,12:32:38.0296,+49:54:29.913,2022-04-25T07:34:01.000,0.17,0.096,10.47125,0.128,0.006 ,0.056 ,0.117 ,0.053 
VLA,12:32:38.0296,+49:54:29.913,2022-04-25T07:34:01.000,0.17,0.096,10.59925,0.128,0.004 ,0.068 ,0.138 ,0.062 
VLA,12:32:38.0296,+49:54:29.913,2022-04-25T07:34:01.000,0.17,0.096,10.72725,0.128,-0.004 ,0.064 ,0.122 ,0.055 
VLA,12:32:38.0296,+49:54:29.913,2022-04-25T07:34:01.000,0.17,0.096,10.85526,0.128,-0.001 ,0.498 ,0.974 ,0.442 
VLA,12:32:38.0296,+49:54:29.913,2022-04-25T07:34:01.000,0.17,0.096,10.98326,0.128,-0.001 ,0.373 ,0.730 ,0.331 
VLA,12:32:38.0296,+49:54:29.913,2022-04-25T07:34:01.000,0.17,0.096,11.11126,0.128,-0.002 ,0.087 ,0.170 ,0.077 
VLA,12:32:38.0296,+49:54:29.913,2022-04-25T07:34:01.000,0.17,0.096,11.23926,0.128,-0.002 ,0.187 ,0.364 ,0.165 
VLA,12:32:38.0296,+49:54:29.913,2022-04-25T07:34:01.000,0.17,0.096,11.36727,0.128,0.001 ,0.100 ,0.197 ,0.089 
VLA,12:32:38.0296,+49:54:29.913,2022-04-25T07:34:01.000,0.17,0.096,11.49527,0.128,-0.003 ,0.716 ,1.401 ,0.635 
VLA,12:32:38.0296,+49:54:29.913,2022-04-25T07:34:01.000,0.17,0.096,11.62327,0.128,0.002 ,0.081 ,0.161 ,0.073 
VLA,12:32:38.0296,+49:54:29.913,2022-04-25T07:34:01.000,0.17,0.096,11.75128,0.128,0.002 ,1.177 ,2.309 ,1.047 
VLA,12:32:38.0296,+49:54:29.913,2022-04-25T07:34:01.000,0.17,0.096,11.87928,0.128,0.008 ,0.161 ,0.325 ,0.147 
VLA,12:25:58.0850,+33:30:54.806,2016-12-15T15:23:44.000,0.07,0.064,12.03771,0.128,0.027 ,1.545 ,3.055 ,3.117 
VLA,12:32:32.0617,+49:55:27.679,2022-04-25T07:20:35.000,0.17,0.064,12.03928,0.128,-0.001 ,0.197 ,0.385 ,0.393 
VLA,12:25:58.0850,+33:30:54.806,2016-12-15T15:23:44.000,0.07,0.064,12.1657,0.128,-0.025 ,0.300 ,0.563 ,0.574 
VLA,12:32:32.0617,+49:55:27.679,2022-04-25T07:20:35.000,0.17,0.064,12.16729,0.128,0.000 ,0.212 ,0.415 ,0.423 
VLA,12:25:58.0850,+33:30:54.806,2016-12-15T15:23:44.000,0.07,0.064,12.29368,0.128,0.029 ,0.077 ,0.181 ,0.184 
VLA,12:32:32.0617,+49:55:27.679,2022-04-25T07:20:35.000,0.17,0.064,12.29529,0.128,0.000 ,1.161 ,2.276 ,2.323 
VLA,12:25:58.0850,+33:30:54.806,2016-12-15T15:23:44.000,0.07,0.064,12.42167,0.128,-0.011 ,0.402 ,0.777 ,0.793 
VLA,12:32:32.0617,+49:55:27.679,2022-04-25T07:20:35.000,0.17,0.064,12.42329,0.128,-0.003 ,0.047 ,0.089 ,0.090 
VLA,12:25:58.0850,+33:30:54.806,2016-12-15T15:23:44.000,0.07,0.064,12.54966,0.128,0.016 ,0.176 ,0.361 ,0.368 
VLA,12:32:32.0617,+49:55:27.679,2022-04-25T07:20:35.000,0.17,0.064,12.55129,0.128,0.000 ,0.053 ,0.103 ,0.105 
VLA,12:25:58.0850,+33:30:54.806,2016-12-15T15:23:44.000,0.07,0.064,12.67764,0.128,0.030 ,1.608 ,3.182 ,3.247 
VLA,12:32:32.0617,+49:55:27.679,2022-04-25T07:20:35.000,0.17,0.064,12.6793,0.128,0.001 ,0.797 ,1.563 ,1.595 
VLA,12:25:58.0850,+33:30:54.806,2016-12-15T15:23:44.000,0.07,0.064,12.80563,0.128,-0.005 ,0.339 ,0.660 ,0.673 
VLA,12:32:32.0617,+49:55:27.679,2022-04-25T07:20:35.000,0.17,0.064,12.8073,0.128,-0.001 ,0.018 ,0.034 ,0.035 
VLA,12:25:58.0850,+33:30:54.806,2016-12-15T15:23:44.000,0.07,0.064,12.93361,0.128,-0.016 ,0.220 ,0.416 ,0.425 
VLA,12:32:32.0617,+49:55:27.679,2022-04-25T07:20:35.000,0.17,0.064,12.9353,0.128,0.002 ,0.241 ,0.474 ,0.483 
VLA,12:25:58.0850,+33:30:54.806,2016-12-15T15:23:44.000,0.07,0.064,13.0616,0.128,-0.013 ,1.365 ,2.663 ,2.717 
VLA,12:32:32.0617,+49:55:27.679,2022-04-25T07:20:35.000,0.17,0.064,13.06331,0.128,0.004 ,0.060 ,0.122 ,0.124 
VLA,12:25:58.0850,+33:30:54.806,2016-12-15T15:23:44.000,0.07,0.064,13.18959,0.128,-0.006 ,1.872 ,3.663 ,3.738 
VLA,12:32:32.0617,+49:55:27.679,2022-04-25T07:20:35.000,0.17,0.064,13.19131,0.128,-0.002 ,0.016 ,0.029 ,0.030 
VLA,12:25:58.0850,+33:30:54.806,2016-12-15T15:23:44.000,0.07,0.064,13.31757,0.128,-0.011 ,0.101 ,0.187 ,0.191 
VLA,12:32:32.0617,+49:55:27.679,2022-04-25T07:20:35.000,0.17,0.064,13.31931,0.128,-0.003 ,0.043 ,0.081 ,0.083 
VLA,12:25:58.0850,+33:30:54.806,2016-12-15T15:23:44.000,0.07,0.064,13.44556,0.128,-0.027 ,1.064 ,2.059 ,2.101 
VLA,12:32:32.0617,+49:55:27.679,2022-04-25T07:20:35.000,0.17,0.064,13.44732,0.128,0.003 ,0.264 ,0.520 ,0.530 
VLA,12:25:58.0850,+33:30:54.806,2016-12-15T15:23:44.000,0.07,0.064,13.57355,0.128,0.009 ,0.725 ,1.431 ,1.460 
VLA,12:32:32.0617,+49:55:27.679,2022-04-25T07:20:35.000,0.17,0.064,13.57532,0.128,-0.001 ,0.026 ,0.050 ,0.051 
VLA,12:25:58.0850,+33:30:54.806,2016-12-15T15:23:44.000,0.07,0.064,13.70153,0.128,-0.023 ,0.234 ,0.436 ,0.445 
VLA,12:32:32.0617,+49:55:27.679,2022-04-25T07:20:35.000,0.17,0.064,13.70332,0.128,0.004 ,0.192 ,0.379 ,0.387 
VLA,12:25:58.0850,+33:30:54.806,2016-12-15T15:23:44.000,0.07,0.064,13.82952,0.128,0.012 ,0.356 ,0.710 ,0.725 
VLA,12:32:32.0617,+49:55:27.679,2022-04-25T07:20:35.000,0.17,0.064,13.83132,0.128,-0.003 ,0.143 ,0.278 ,0.283 
VLA,12:25:58.0850,+33:30:54.806,2016-12-15T15:23:44.000,0.07,0.064,13.9575,0.128,0.014 ,2.372 ,4.663 ,4.758 
VLA,12:32:32.0617,+49:55:27.679,2022-04-25T07:20:35.000,0.17,0.064,13.95933,0.128,-0.003 ,0.023 ,0.042 ,0.043 
VLA,12:25:58.0850,+33:30:54.806,2016-12-15T15:23:44.000,0.07,0.064,14.08549,0.128,-0.010 ,0.525 ,1.018 ,1.039 
VLA,12:32:32.0617,+49:55:27.679,2022-04-25T07:20:35.000,0.17,0.064,14.08733,0.128,0.000 ,0.142 ,0.277 ,0.283 
VLA,12:25:58.0850,+33:30:54.806,2016-12-15T15:23:44.000,0.07,0.064,14.21348,0.128,0.008 ,0.369 ,0.730 ,0.745 
VLA,12:32:32.0617,+49:55:27.679,2022-04-25T07:20:35.000,0.17,0.064,14.21533,0.128,0.000 ,0.096 ,0.188 ,0.192 
VLA,12:25:58.0850,+33:30:54.806,2016-12-15T15:23:44.000,0.07,0.064,14.34146,0.128,-0.045 ,0.204 ,0.356 ,0.363 
VLA,12:32:32.0617,+49:55:27.679,2022-04-25T07:20:35.000,0.17,0.064,14.34334,0.128,0.000 ,0.076 ,0.148 ,0.151 
VLA,12:25:58.0850,+33:30:54.806,2016-12-15T15:23:44.000,0.07,0.064,14.46945,0.128,0.017 ,0.392 ,0.784 ,0.800 
VLA,12:32:32.0617,+49:55:27.679,2022-04-25T07:20:35.000,0.17,0.064,14.47134,0.128,0.000 ,0.030 ,0.059 ,0.060 
VLA,12:25:58.0850,+33:30:54.806,2016-12-15T15:23:44.000,0.07,0.064,14.59744,0.128,0.001 ,1.076 ,2.110 ,2.153 
VLA,12:32:32.0617,+49:55:27.679,2022-04-25T07:20:35.000,0.17,0.064,14.59934,0.128,-0.001 ,0.023 ,0.044 ,0.045 
VLA,12:25:58.0850,+33:30:54.806,2016-12-15T15:23:44.000,0.07,0.064,14.72542,0.128,0.072 ,0.473 ,0.999 ,1.019 
VLA,12:32:32.0617,+49:55:27.679,2022-04-25T07:20:35.000,0.17,0.064,14.72735,0.128,0.003 ,0.024 ,0.050 ,0.051 
VLA,12:25:58.0850,+33:30:54.806,2016-12-15T15:23:44.000,0.07,0.064,14.85341,0.128,-0.028 ,0.171 ,0.307 ,0.314 
VLA,12:32:32.0617,+49:55:27.679,2022-04-25T07:20:35.000,0.17,0.064,14.85535,0.128,0.002 ,0.022 ,0.044 ,0.045 
VLA,12:25:58.0850,+33:30:54.806,2016-12-15T15:23:44.000,0.07,0.064,14.98139,0.128,0.001 ,1.523 ,2.986 ,3.047 
VLA,12:32:32.0617,+49:55:27.679,2022-04-25T07:20:35.000,0.17,0.064,14.98335,0.128,-0.002 ,0.073 ,0.141 ,0.143 
VLA,12:25:58.0850,+33:30:53.510,2016-12-15T15:23:44.000,0.07,0.064,14.99739,6.047,0.000 ,0.025 ,0.049 ,0.050 
VLA,12:32:32.0616,+49:55:26.383,2022-04-25T07:20:35.000,0.17,0.064,14.99935,6.048,0.000 ,0.018 ,0.037 ,0.037 
VLA,12:25:58.0850,+33:30:54.806,2016-12-15T15:23:44.000,0.07,0.064,15.10938,0.128,0.009 ,1.139 ,2.241 ,2.287 
VLA,12:32:32.0617,+49:55:27.679,2022-04-25T07:20:35.000,0.17,0.064,15.11135,0.128,0.002 ,0.180 ,0.354 ,0.361 
VLA,12:25:58.0850,+33:30:54.806,2016-12-15T15:23:44.000,0.07,0.064,15.23737,0.128,0.004 ,0.117 ,0.232 ,0.237 
VLA,12:32:32.0617,+49:55:27.679,2022-04-25T07:20:35.000,0.17,0.064,15.23936,0.128,-0.002 ,0.017 ,0.032 ,0.032 
VLA,12:25:58.0850,+33:30:54.806,2016-12-15T15:23:44.000,0.07,0.064,15.36535,0.128,-0.004 ,0.310 ,0.604 ,0.616 
VLA,12:32:32.0617,+49:55:27.679,2022-04-25T07:20:35.000,0.17,0.064,15.36736,0.128,-0.002 ,0.057 ,0.110 ,0.113 
VLA,12:25:58.0850,+33:30:54.806,2016-12-15T15:23:44.000,0.07,0.064,15.49334,0.128,0.020 ,0.804 ,1.596 ,1.629 
VLA,12:32:32.0617,+49:55:27.679,2022-04-25T07:20:35.000,0.17,0.064,15.49536,0.128,0.001 ,0.028 ,0.056 ,0.057 
VLA,12:25:58.0850,+33:30:54.806,2016-12-15T15:23:44.000,0.07,0.064,15.62133,0.128,0.013 ,0.404 ,0.805 ,0.822 
VLA,12:32:32.0617,+49:55:27.679,2022-04-25T07:20:35.000,0.17,0.064,15.62337,0.128,0.000 ,0.050 ,0.098 ,0.100 
VLA,12:25:58.0850,+33:30:54.806,2016-12-15T15:23:44.000,0.07,0.064,15.74931,0.128,-0.040 ,0.093 ,0.143 ,0.146 
VLA,12:32:32.0617,+49:55:27.679,2022-04-25T07:20:35.000,0.17,0.064,15.75137,0.128,-0.003 ,0.022 ,0.041 ,0.042 
VLA,12:25:58.0850,+33:30:54.806,2016-12-15T15:23:44.000,0.07,0.064,15.8773,0.128,-0.008 ,0.123 ,0.232 ,0.237 
VLA,12:32:32.0617,+49:55:27.679,2022-04-25T07:20:35.000,0.17,0.064,15.87937,0.128,-0.001 ,0.034 ,0.064 ,0.066 
VLA,12:25:58.0850,+33:30:54.806,2016-12-15T15:23:44.000,0.07,0.064,16.00528,0.128,0.010 ,0.246 ,0.491 ,0.501 
VLA,12:32:32.0617,+49:55:27.679,2022-04-25T07:20:35.000,0.17,0.064,16.00738,0.128,0.002 ,0.167 ,0.329 ,0.336 
VLA,12:25:58.0850,+33:30:54.806,2016-12-15T15:23:44.000,0.07,0.064,16.13327,0.128,-0.023 ,1.076 ,2.086 ,2.128 
VLA,12:32:32.0617,+49:55:27.679,2022-04-25T07:20:35.000,0.17,0.064,16.13538,0.128,-0.004 ,0.055 ,0.103 ,0.105 
VLA,12:25:58.0850,+33:30:54.806,2016-12-15T15:23:44.000,0.07,0.064,16.26126,0.128,-0.035 ,3.044 ,5.931 ,6.053 
VLA,12:32:32.0617,+49:55:27.679,2022-04-25T07:20:35.000,0.17,0.064,16.26338,0.128,-0.003 ,0.020 ,0.035 ,0.036 
VLA,12:25:58.0850,+33:30:54.806,2016-12-15T15:23:44.000,0.07,0.064,16.38924,0.128,0.001 ,0.212 ,0.417 ,0.426 
VLA,12:32:32.0617,+49:55:27.679,2022-04-25T07:20:35.000,0.17,0.064,16.39138,0.128,0.004 ,0.035 ,0.072 ,0.074 
VLA,12:25:58.0850,+33:30:54.806,2016-12-15T15:23:44.000,0.07,0.064,16.51723,0.128,-0.004 ,0.295 ,0.574 ,0.586 
VLA,12:32:32.0617,+49:55:27.679,2022-04-25T07:20:35.000,0.17,0.064,16.51939,0.128,0.000 ,0.058 ,0.115 ,0.117 
VLA,12:25:58.0850,+33:30:54.806,2016-12-15T15:23:44.000,0.07,0.064,16.64522,0.128,0.048 ,0.231 ,0.500 ,0.510 
VLA,12:32:32.0617,+49:55:27.679,2022-04-25T07:20:35.000,0.17,0.064,16.64739,0.128,0.000 ,0.043 ,0.083 ,0.085 
VLA,12:25:58.0850,+33:30:54.806,2016-12-15T15:23:44.000,0.07,0.064,16.7732,0.128,0.016 ,0.924 ,1.826 ,1.863 
VLA,12:32:32.0617,+49:55:27.679,2022-04-25T07:20:35.000,0.17,0.064,16.77539,0.128,0.006 ,0.025 ,0.054 ,0.055 
VLA,12:25:58.0850,+33:30:54.806,2016-12-15T15:23:44.000,0.07,0.064,16.90119,0.128,-0.011 ,1.110 ,2.165 ,2.209 
VLA,12:32:32.0617,+49:55:27.679,2022-04-25T07:20:35.000,0.17,0.064,16.9034,0.128,0.000 ,0.039 ,0.076 ,0.078 
VLA,12:25:58.0850,+33:30:54.806,2016-12-15T15:23:44.000,0.07,0.064,17.02917,0.128,-0.046 ,0.432 ,0.800 ,0.816 
VLA,12:32:32.0617,+49:55:27.679,2022-04-25T07:20:35.000,0.17,0.064,17.0314,0.128,-0.010 ,0.026 ,0.042 ,0.042 
VLA,12:25:58.0850,+33:30:54.806,2016-12-15T15:23:44.000,0.07,0.064,17.15716,0.128,-0.006 ,0.729 ,1.423 ,1.452 
VLA,12:32:32.0617,+49:55:27.679,2022-04-25T07:20:35.000,0.17,0.064,17.1594,0.128,0.001 ,0.089 ,0.176 ,0.179 
