Station,RA,DEC,Start_Epoch,Exposure(hr),FoV(deg),Center Frequency(GHz),Bandwidth(GHz),Mean(¦ÌJy),RMS(¦ÌJy),UL_95%(¦ÌJy),UL_95%(Jy/sr)
ALMA,02:42:41.2544,-00:00:55.091,2023-06-02T13:15:51.808,0.53,0.004,682.9812,1.766,-2.537 ,54.880 ,105.026 ,27436.619 
ALMA,02:42:41.2544,-00:00:55.091,2023-06-02T13:15:51.808,0.53,0.004,684.8666,1.766,-3.412 ,50.840 ,96.232 ,25139.496 
ALMA,02:42:41.2544,-00:00:55.091,2023-06-02T13:15:51.808,0.53,0.004,684.8666,1.766,-3.295 ,45.070 ,85.040 ,22215.735 
ALMA,01:34:18.7372,-29:25:13.752,2019-08-20T08:51:12.144,1.13,0.004,686.0803,1.766,-1.822 ,16.330 ,30.184 ,7885.229 
ALMA,02:42:41.2544,-00:00:55.091,2023-06-02T13:15:51.808,0.53,0.004,686.8666,1.766,0.815 ,46.400 ,91.758 ,23970.505 
ALMA,02:42:41.2544,-00:00:55.091,2023-06-02T13:15:51.808,0.53,0.004,686.8666,1.766,1.000 ,48.350 ,95.764 ,25017.080 
ALMA,01:34:18.7372,-29:25:13.752,2019-08-20T08:51:12.144,1.13,0.004,688.1037,1.797,-2.517 ,22.320 ,41.229 ,10770.638 
ALMA,02:42:41.2544,-00:00:55.091,2023-06-02T13:15:51.808,0.53,0.004,688.8667,1.766,1.894 ,62.570 ,124.529 ,32531.557 
ALMA,02:42:41.2544,-00:00:55.091,2023-06-02T13:15:51.808,0.53,0.004,688.8667,1.766,3.828 ,53.190 ,108.078 ,28234.090 
ALMA,10:00:21.1818,+02:35:13.288,2017-11-21T09:39:59.104,0.35,0.004,690.9532,1.61,-1.425 ,33.800 ,64.822 ,16933.841 
ALMA,10:00:21.1818,+02:35:13.288,2017-11-21T09:39:59.104,0.35,0.004,692.9452,1.594,-0.676 ,26.350 ,50.969 ,13314.892 
ALMA,10:00:21.1818,+02:35:13.288,2017-11-21T09:39:59.104,0.35,0.004,694.9529,1.61,-1.637 ,43.600 ,83.817 ,21896.204 
ALMA,10:00:21.1818,+02:35:13.288,2017-11-21T09:39:59.104,0.35,0.004,696.8902,1.61,-0.293 ,64.390 ,125.909 ,32892.045 
ALMA,22:25:47.6733,-04:57:07.578,2017-04-22T11:03:06.048,0.68,0.003,788.9272,1.641,96.660 ,696.800 ,1462.360 ,679152.356 
ALMA,22:25:47.6733,-04:57:07.578,2017-04-22T11:03:06.048,0.68,0.003,790.562,1.641,118.300 ,575.200 ,1245.669 ,578516.205 
ALMA,22:25:47.6733,-04:57:07.578,2017-04-22T11:03:06.048,0.68,0.003,792.4213,1.641,-38.340 ,537.400 ,1014.943 ,471361.725 
ALMA,23:03:16.0584,+08:52:19.367,2024-09-08T03:41:35.664,0.26,0.004,793.4894,1.828,217.400 ,2921.000 ,5942.443 ,1552388.575 
ALMA,22:25:47.6733,-04:57:07.578,2017-04-22T11:03:06.048,0.68,0.003,794.2931,1.641,48.630 ,677.900 ,1377.287 ,639642.462 
ALMA,23:03:16.0584,+08:52:19.367,2024-09-08T03:41:35.664,0.26,0.004,794.9806,1.305,192.500 ,2450.000 ,4994.402 ,1304724.740 
